date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:11	81505/81505	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-13e61%22	https://technext.github.io/tulen/img/gallery/1.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/1.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:13	13894/13894	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-3646%22	https://technext.github.io/tulen/img/gallery/4.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/4.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:15	62198/62198	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-f2f6%22	https://technext.github.io/tulen/img/gallery/6.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/6.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:16	19319/19319	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-4b77%22	https://technext.github.io/tulen/img/gallery/7.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/7.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:16	65157/65157	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-fe85%22	https://technext.github.io/tulen/img/gallery/5.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/5.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:16	16097/16097	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-3ee1%22	https://technext.github.io/tulen/img/gallery/3.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/3.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:18	32511/32511	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-7eff%22	https://technext.github.io/tulen/img/gallery/8.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/8.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:18	56362/56362	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-dc2a%22	https://technext.github.io/tulen/img/gallery/9.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/9.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:21	81375/81375	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-13ddf%22	https://technext.github.io/tulen/img/gallery/11.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/11.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:21	13736/13736	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-35a8%22	https://technext.github.io/tulen/img/blog/1.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/1.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:22	74190/74190	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-121ce%22	https://technext.github.io/tulen/js/fresco.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/fresco.min.js	(from https://technext.github.io/tulen/gallery.html)
23:46:22	10053/10053	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-2745%22	https://technext.github.io/tulen/blog-details.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/blog-details.html	(from https://technext.github.io/tulen/blog.html)
23:46:23	6766/6766	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1a6e%22	https://technext.github.io/tulen/img/blog/2.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/2.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:25	15664/15664	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-3d30%22	https://technext.github.io/tulen/img/blog/3.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/3.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:25	6022/6022	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1786%22	https://technext.github.io/tulen/img/blog/4.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/4.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:27	17983/17983	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-463f%22	https://technext.github.io/tulen/img/blog/5.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/5.jpg	(from https://technext.github.io/tulen/blog.html)
